@ HyperIMU -ianovir - 2018
@ Date:Mon Nov 25 07:27:40 GMT+00:00 2019, Sampling Rate:100ms

LIS3DH_Accelerometer.x,LIS3DH_Accelerometer.y,LIS3DH_Accelerometer.z,L3GD20_Gyroscope.x,L3GD20_Gyroscope.y,L3GD20_Gyroscope.z,AK8963_Magnetometer.x,AK8963_Magnetometer.y,AK8963_Magnetometer.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,Orientation.x,Orientation.y,Orientation.z
-0.05883789,0.17651367,9.963562,0.002609253,0.0030822754,-3.0517578E-4,14.425659,-2.4765015,-29.307556,0.047165193,0.01246956,-0.025439262,0.001773676,0.009612733,0.72744775,266.6435,-0.9408539,-0.6079169
-0.07846069,0.13729858,9.943939,-0.0010528564,0.0030822754,0.0033569336,14.601135,-1.2374878,-29.820251,0.027353942,-0.027584597,-0.040794373,0.0018018888,0.009642462,0.72803307,266.54562,-0.94606954,-0.6070947
-0.05883789,0.15690613,10.042007,1.8310547E-4,-0.003036499,0.0045776367,13.897705,-1.5914917,-31.530762,0.044817425,-0.0059574544,0.052994728,0.0017968754,0.009493292,0.72901857,266.3811,-0.9340833,-0.59445417
-0.05883789,0.13729858,9.943939,0.0014038086,0.0067596436,9.0026855E-4,15.129089,-1.0604858,-29.649353,0.045720994,-0.02414012,-0.044916153,0.0017225089,0.009471074,0.72848505,266.47043,-0.9259271,-0.5996465
-0.11767578,0.05883789,9.924332,0.002609253,0.0055236816,0.0021362305,14.074707,-0.70648193,-30.332947,-0.01242923,-0.024143815,-0.063256264,0.0017287165,0.009493857,0.72789097,266.5697,-0.92779565,-0.60172075
-0.13729858,0.17651367,10.140076,0.0038452148,0.014083862,0.007019043,15.4800415,-1.0604858,-31.018066,-0.0522435,0.012379602,-0.057980537,0.001829021,0.009575972,0.72728837,266.6702,-0.9420003,-0.600632
-0.07846069,0.13729858,10.042007,0.002609253,0.001876831,-3.0517578E-4,13.546753,-1.5914917,-29.478455,0.02597668,-0.032371953,0.05102539,0.002032528,0.009759946,0.72680974,266.7497,-0.9729245,-0.598814
-0.07846069,0.21574402,10.042007,1.8310547E-4,0.0043182373,0.009460449,13.018799,-0.35247803,-29.649353,-0.014413618,0.0066310465,-0.04824066,0.0020879044,0.009724915,0.72641474,266.81564,-0.9740237,-0.5920052
-0.13729858,0.13729858,9.98317,-0.0071411133,0.00920105,9.0026855E-4,14.953613,-3.0075073,-32.21588,-0.028380409,-0.06833382,0.0083351135,0.0017474614,0.009793316,0.7274527,266.64227,-0.9538557,-0.624291
-0.11767578,0.11767578,9.924332,-0.0010528564,-0.0054779053,0.0033569336,14.776611,-0.70648193,-29.99115,-0.007779114,-0.0473613,-0.06851864,0.0016714677,0.009777737,0.7270183,266.7148,-0.94618344,-0.6300007
-0.11767578,0.13729858,9.98317,0.0014038086,0.0055236816,-0.0015411377,13.722229,-1.7684937,-30.67627,0.089073375,-0.026932836,-0.03225708,0.0016919589,0.009703036,0.7267045,266.76733,-0.9412856,-0.6228477
-0.07846069,0.11767578,9.963562,1.8310547E-4,0.00920105,-0.003982544,15.129089,-1.4144897,-31.70166,0.035095938,-0.04509653,-0.030611992,0.0014910098,0.009821643,0.727731,266.5957,-0.93631846,-0.64751774
-0.07846069,0.11767578,9.963562,0.002609253,0.007965088,-3.0517578E-4,14.425659,-1.7684937,-31.018066,0.032831594,-0.04488872,-0.03051567,0.0015111323,0.009738387,0.72874093,266.427,-0.9318957,-0.6379249
-0.05883789,0.19613647,9.924332,-0.0022583008,0.0128479,0.0045776367,14.074707,0.3555298,-30.332947,0.051472038,0.02983731,-0.062791824,0.001695296,0.0098444,0.7273986,266.65118,-0.9539643,-0.6327308
-0.09806824,0.15690613,9.98317,0.0038452148,0.02507019,9.0026855E-4,14.776611,-0.35247803,-31.359863,0.04793267,-0.00782159,0.020853996,0.0010622705,0.010344248,0.7269933,266.71762,-0.94544375,-0.72535455
-0.11767578,0.09806824,9.943939,0.006286621,0.016525269,0.0021362305,13.897705,-0.17547607,-30.847168,0.015244469,-0.06941289,-0.039479256,9.214057E-4,0.0106670465,0.72684574,266.74142,-0.96109986,-0.7626896
