@ HyperIMU -ianovir - 2018
@ Date:Mon Nov 25 13:50:44 GMT+00:00 2019, Sampling Rate:100ms

LIS3DH_Accelerometer.x,LIS3DH_Accelerometer.y,LIS3DH_Accelerometer.z,L3GD20_Gyroscope.x,L3GD20_Gyroscope.y,L3GD20_Gyroscope.z,AK8963_Magnetometer.x,AK8963_Magnetometer.y,AK8963_Magnetometer.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,Orientation.x,Orientation.y,Orientation.z
-0.11767578,0.15690613,9.98317,3.0517578E-5,-0.008056641,-2.4414062E-4,16.007996,-22.117615,-52.06299,0.099046856,0.023312062,0.15600109,-0.007364393,0.011346464,0.9286731,223.50604,-0.89493114,-1.2657335
-0.07846069,0.13729858,9.98317,-0.0011749268,0.0041503906,-0.003921509,14.074707,-22.294617,-50.865173,0.06617443,0.002906859,0.15007591,-0.006763944,0.011069329,0.93064284,222.89569,-0.8972544,-1.1852887
-0.09806824,0.11767578,10.002777,-0.0036315918,-0.0068511963,9.765625E-4,15.655518,-23.887634,-50.009155,0.0373431,0.006504014,0.16452312,-0.0064317,0.010668968,0.93245965,222.32536,-0.87409675,-1.1287346
-0.13729858,0.11767578,9.924332,0.0012664795,-0.0056152344,-2.4414062E-4,15.655518,-23.53363,-52.06299,0.04041758,-0.012172893,0.055664062,-0.005738401,0.010316186,0.9339676,221.84729,-0.86940295,-1.0364269
-0.13729858,0.13729858,10.002777,0.006149292,-0.0056152344,0.005874634,14.953613,-23.53363,-51.719666,0.0079101175,0.027362674,0.119158745,-0.0051342347,0.010002197,0.9354807,221.36172,-0.86456937,-0.95524997
0.0,0.23536682,9.767426,0.0024719238,-0.012939453,-0.028320312,14.425659,-24.41864,-52.575684,0.14621976,0.04822755,0.12963963,-0.0032150093,0.012358888,0.93544227,221.36702,-1.1948712,-0.8449391
-0.2942047,0.6276245,10.042007,3.0517578E-5,-0.008056641,0.1451416,12.316895,-23.002625,-51.20697,-0.20327817,0.43942863,-0.023682594,-0.0034293118,0.012432218,0.937451,220.70969,-1.1990362,-0.8640198
0.45111084,1.2356415,9.865494,-0.0023956299,0.0029449463,0.240448,10.910034,-21.586609,-49.838257,0.51611733,0.6103482,-0.21584606,-0.002225471,0.012227366,0.9407404,219.6152,-1.2318857,-0.71477664
-0.66685486,0.07846069,9.571289,-0.0011749268,-0.019058228,-0.085754395,7.218933,-21.76361,-48.64044,-0.38911417,0.020178556,-0.07064819,3.4849945E-4,0.0134628285,0.9439035,218.70221,-1.468673,-0.44447204
0.05883789,0.19613647,10.277374,-0.013397217,-0.0019378662,-0.10774231,4.7576904,-21.76361,-47.955322,0.15464617,-9.725094E-4,0.37279987,-0.0014313943,0.011045473,0.9469787,217.45612,-1.1460702,-0.56176406
0.019607544,0.19613647,10.316589,-0.0023956299,0.01637268,-0.14683533,2.8244019,-19.110107,-46.41571,0.1505068,-0.16500942,0.46507454,-0.0027624064,0.009803051,0.9497262,216.46654,-0.96792775,-0.6521616
-0.07846069,0.21574402,10.316589,0.00491333,5.0354004E-4,-0.19203186,1.2420654,-18.579102,-45.56122,0.21046013,0.17582864,0.080368996,-0.0026315204,0.010197037,0.95147145,215.8204,-1.0191638,-0.6463083
-0.13729858,-0.8041382,10.159683,-0.0011749268,-0.025161743,0.08772278,-1.0437012,-15.570068,-43.678284,-0.18615614,-0.76268184,0.1720066,-0.005390834,0.0076596374,0.957444,213.52904,-0.66226506,-0.8446821
